size,regime,feature,feature_label,sample_count,forward_only_pool_count,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,status
150,post,sigma_r,abs(Delta sigma_R),6,15608,5.6176939631402144e-05,14772,836,0.0015418093414512057,ok
150,post,sigma_i,abs(Delta sigma_I),6,15608,7.250036897413597e-05,14866,742,0.011349710855216522,ok
150,post,sigma_s,abs(Delta sigma_S),6,15608,7.418999733493136e-06,4242,11366,0.00016280646692479195,ok
150,post,er_over_dg,abs(Delta E_R)/(V0 Delta gamma),6,15608,0.002776088560517426,14280,1328,0.03125012465896848,ok
150,post,er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),6,15608,277.608856051465,14280,1328,0.031250124658968925,ok
150,post,es_over_dg,Delta E_S/(V0 Delta gamma),6,15608,0.061583883667796886,14449,1159,0.025658621594940145,ok
150,post,es_over_dg2,Delta E_S/(V0 Delta gamma^2),6,15608,6158.38836677353,14449,1159,0.025658621594939923,ok
150,post,ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),6,15608,0.7970754776142167,14859,749,0.001387375743033381,ok
150,post,ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6,15608,79707.54776134195,14859,749,0.001387375743033381,ok
150,post,sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,6,15608,5.617693963134596,14772,836,0.0015418093414510947,ok
150,post,sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,6,15608,7.250036897406346,14866,742,0.0113497108552163,ok
150,post,sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,6,15608,0.7418999733485716,4242,11366,0.0001628064669253193,ok
150,post,er_over_es,abs(Delta E_R)/Delta E_S,6,15608,0.045768592263689276,13817,1791,0.0015307123746570728,ok
150,post,ei_over_es,abs(Delta E_I)/Delta E_S,6,15608,34.97939984112108,7067,8541,0.0005605809689839258,ok
150,post,sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),6,15608,1.3120185759222016,11719,3889,0.0003231887347562301,ok
150,post,sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),6,15608,1.8336870230953068,11794,3814,0.0006531460003247891,ok
150,post,sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),6,15608,0.8073092497756674,11426,4182,3.75232494870259e-05,ok
150,post,er_over_ei,abs(Delta E_R)/abs(Delta E_I),6,15608,0.009543405846265769,14261,1347,0.1978611786688722,ok
150,post,er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),6,15608,0.004750039471896679,14260,1348,0.40157546823664303,ok
150,post,sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),6,15608,0.43481005128350725,10181,5427,2.9657687602657745e-05,ok
150,post,er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6,15608,1.0400585642816674e-05,14784,824,0.00942914318114596,ok
150,post,er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,6,15608,8.627217739420836e-07,4952,10656,3.981177080802922e-05,ok
150,post,er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,6,15608,7.764038080077119e-07,14372,1236,0.010572596666819756,ok
150,post,er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,6,15608,8.317099360246007e-13,14282,1326,0.08031045874159126,ok
150,post,er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,6,15608,1.044797941097251e-12,14288,1320,0.08661287034357379,ok
150,post,ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,6,15608,4.6380187674627523e-10,14866,742,0.005489803353031064,ok
150,post,es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,6,15608,2.6786760045376604e-11,14498,1110,0.005010013544909597,ok
150,post,er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),6,15608,105.37074854204528,14789,819,0.010188029349040839,ok
150,post,es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),6,15608,567.7293366951801,10838,4770,0.0014871130801235033,ok
